Age,ArenaSize,Paternity,Treatment,TotDist,MeanVel,LatencyZ2360,CumDur%Z2,MeanMeander,FreqZAlter,FreqTransZ1>Z2,MeanTurnAngle,MeanAngVel,Mean%Activ,Mean%Mobility
21,58,318,25,2491.86,8.62541,86.8991,0.56424,-226.089,6,3,-1.0228,-30.6844,0.0610691,13.207
21,58,318,25,232.14,0.652636,360,0,-738.187,0,0,-0.69727,-20.9183,0.00509062,2.94421
21,58,318,25,2292.18,6.4569,85.1991,4.4609,-212.135,5,3,-0.561203,-16.8363,0.0699444,12.3501
21,58,318,25,1925.72,5.52367,160.898,3.02498,-185.378,1,1,-0.0584936,-1.75483,0.0816959,13.2405
21,58,318,25,1735.18,4.84151,50.7328,6.58965,111.127,5,3,-0.319689,-9.59076,0.0527948,10.1918
21,58,318,25,1038.57,2.89271,217.864,0.351526,-142.034,3,2,-0.0132543,-0.397634,0.0248511,7.28175
21,58,318,25,723.575,2.01014,68.066,1.02673,487.77,1,1,-0.449511,-13.4855,0.0180549,4.78186
21,58,318,25,912.871,2.53813,24.2331,0.953527,18.1246,1,1,0.104903,3.14712,0.0350281,6.291
21,58,36,25,2851.33,7.95357,13.1332,2.99861,-12.2282,3,2,-0.0966315,-2.89897,0.0852205,14.3824
21,58,36,25,908.128,2.54952,290.097,0.472047,73.7281,2,1,-0.9083,-27.2493,0.0253106,7.98231
21,58,36,25,1520.03,4.27179,78.7659,1.52721,-499.99,2,1,0.262418,7.87262,0.0396771,9.33908
21,58,36,25,677.143,1.90175,45.5329,1.14804,-263.056,2,1,0.142325,4.2698,0.0180159,5.66714
21,58,36,25,1081.85,3.00571,17.8665,0.952821,209.921,1,1,-1.29512,-38.8539,0.0252321,6.89968
21,58,36,25,2318.97,6.43927,155.132,0.351331,74.8441,1,1,0.449002,13.4702,0.0660592,14.4479
21,58,36,25,1943.33,5.4077,58.1994,1.23114,-67.7533,3,2,0.529984,15.8997,0.059275,11.9177
21,58,36,25,696.096,1.93523,360,0,-47.5605,0,0,-0.57525,-17.2577,0.0210674,5.08342
21,58,36,25,1616.29,4.49432,91.4991,1.29594,234.701,1,1,1.81101,54.3309,0.046917,8.97187
14,58,318,25,306.142,0.851113,360,0,633.137,0,0,-0.225368,-6.76112,0.0082077,3.72302
14,58,318,25,601.479,1.7463,72.5659,0.305471,16.009,4,2,0.509183,15.2756,0.0111523,4.82049
14,58,318,25,3609.16,10.0451,56.8661,1.62918,668.229,1,1,-0.168362,-5.05092,0.0777354,17.5394
14,58,318,25,3056.57,8.52768,0.599994,6.60002,70.1157,1,1,0.73726,22.118,0.0560985,16.5221
14,58,318,25,1290.22,3.58997,1.33332,3.8604,-71.4449,3,2,0.0591988,1.77598,0.0252121,8.09063
14,58,318,25,1013.44,2.82168,55.0661,3.52549,-168.102,1,1,0.233223,6.99677,0.0325554,6.87129
14,58,318,25,516.911,1.43841,109.299,4.98566,-287.025,2,1,0.729837,21.8953,0.0154195,5.0146
