Video File,Subject,TreatmentFactor,Mean_Burst_Activity_(%),Mean_Burst_Count,Mean_Burst_Count/Minute,Mean_Burst_Duration_(s),Mean_Inactivity_(%),Mean_Inactivity_Duration_(s),Mean_Total_Burst_Duration_(s),Clutch,Parentage,indv,ID
BMAA_5_3-2B_2.avi,S01,5,0,0,0,0,100,60.547442,0,3-2B,32,n,14
BMAA_5_3-2B_2.avi,S02,5,0.890207715,1,0.990958462,0.538998,99.10979228,60.008444,0.538998,3-2B,32,n,15
BMAA_5_3-2B_2.avi,S03,5,0,0,0,0,100,60.547442,0,3-2B,32,n,16
BMAA_5_3-2B_2.avi,S04,5,4.747774481,3,2.972875386,0.958218667,95.25222552,57.672786,2.874656,3-2B,32,n,17
BMAA_5_3-2B_2.avi,S05,5,20.47477745,2,1.981916924,6.198477,79.52522255,48.150488,12.396954,3-2B,32,n,18
BMAA_5_3-3_1.avi,S01,5,0,0,0,0,100,60.5515,0,3-3A,33,n,19
BMAA_5_3-3_1.avi,S02,5,0,0,0,0,100,60.5515,0,3-3A,33,n,20
BMAA_5_3-3_1.avi,S03,5,0,0,0,0,100,60.5515,0,3-3A,33,n,21
BMAA_5_3-3_1.avi,S04,5,0,0,0,0,100,60.5515,0,3-3A,33,n,22
BMAA_5_3-3_Abigail_1.avi,S01,5,0,0,0,0,100,60.357,0,3-3A,33,y,Abigail
BMAA_5_3-3_Barney_1.avi,S01,5,1.754385965,1,0.991178511,1.062,98.24561404,59.472,1.062,3-3A,33,y,Barney
BMAA_5_3-3_Carrie_1.avi,S01,5,0,0,0,0,100,60.5515,0,3-3A,33,y,Carrie
BMAA_5_3-3_Dallas_2.avi,S01,5,0.882352941,1,0.997008973,0.531,99.11764706,59.649,0.531,3-3A,33,y,Dallas
BMAA_5_3-18E_1.avi,S01,5,5.797101449,2,1.971300331,1.76445,94.20289855,57.344625,3.5289,3-18E,318,n,23
BMAA_5_3-18E_1.avi,S02,5,0.869565217,1,0.985650166,0.529335,99.13043478,60.34419,0.529335,3-18E,318,n,24
BMAA_5_3-18E_1.avi,S03,5,2.028985507,1,0.985650166,1.235115,97.97101449,59.63841,1.235115,3-18E,318,n,25
BMAA_5_3-18E_1.avi,S04,5,5.507246377,2,1.971300331,1.6762275,94.49275362,57.52107,3.352455,3-18E,318,n,26
BMAA_5_3-18E_1.avi,S05,5,0,0,0,0,100,60.873525,0,3-18E,318,n,27
BMAA_5_3-18E_2.avi,S01,5,0,0,0,0,100,60.55509,0,3-18E,318,n,28
BMAA_5_3-18E_2.avi,S02,5,2.898550725,1,0.990833306,1.75522,97.10144928,58.79987,1.75522,3-18E,318,n,29
BMAA_5_3-18E_2.avi,S03,5,1.739130435,1,0.990833306,1.053132,98.26086957,59.501958,1.053132,3-18E,318,n,30
BMAA_5_3-18E_2.avi,S04,5,1.449275362,1,0.990833306,0.87761,98.55072464,59.67748,0.87761,3-18E,318,n,31
BMAA_5_3-18E_2.avi,S05,5,0,0,0,0,100,60.55509,0,3-18E,318,n,32
BMAA_5_3-9A_1.avi,S01,5,0,0,0,0,100,60.738016,0,3-9A,39,n,33
BMAA_5_3-9A_1.avi,S02,5,0.872093023,1,0.987849192,0.529692,99.12790698,60.208324,0.529692,3-9A,39,n,34
BMAA_5_3-9A_1.avi,S03,5,0,0,0,0,100,60.738016,0,3-9A,39,n,35
